_id,checkin_count,الموقع,Site,City English,City Arabic,Brn,Y GIS Coordinates,Site Type,X GIS Coordinates,id,Reg
74,,محطة الغميز الجوف,AL GOMAYZ GAS STATION,AL-JOUF,الجوف,Of Site,29.9464333333333,drive up - Island,40.1804,72,AL-JOUF
75,,محطة المويشير,AL MOAISHIR GAS STATION,AL-JOUF,الجوف,Of Site,29.9771833333333,drive up - Island,40.1906166666667,73,AL-JOUF
76,,ارض عبد السلام التيماني,ALTAMYANI LAND,AL-JOUF,الجوف,Of Site,29.988698,drive up - Island,40.250502,74,AL-JOUF
77,,عمارة حمود تركي مريزيق المعاذي 2 (وكيل شرعى - فايز حمود الطالب ),FAYS HMOOD BUILDING 2,AL-JOUF,الجوف,Of Site,29.937218,Room-Window,40.200442,75,AL-JOUF
78,,محطة دايمه للمحروقات,DAYMAH GAS STATION,AL-JOUF,الجوف,Of Site,29.922944,drive up - Island,40.191328,76,AL-JOUF
79,,سيار ارض فهد الدرعان,FAHAD ALDARAAN LAND,AL-JOUF,الجوف,Of Site,29.9827333333333,drive up - Island,40.2158333333333,77,AL-JOUF
80,,غرفة الدرعان (ط الملك عبد العزيز),KING ABDUL AZIZ ROAD,AL-JOUF,الجوف,Of Site,29.9846333333333,Room-Window,40.2098666666667,78,AL-JOUF
81,,مجمع الخليج الجوف,KHALEEJ CENTER FOR CAR,AL-JOUF,الجوف,Of Site,29.8987833333333,drive up - Island,40.2111666666667,79,AL-JOUF
82,,محطة اللقائط  الجوف,AL-LAQAET/KHAMSAN STATION,AL-JOUF,الجوف,Of Site,29.9838,drive up - Island,40.2341666666667,80,AL-JOUF
83,,نادى القلعة 2,ALQALAH SPORT CLUB 2,AL-JOUF,الجوف,Of Site,29.951848,drive up - Island,40.198256,81,AL-JOUF
84,,عمارة محمد الفاضل - الجوف,AL FADHEL BUILDING,AL-JOUF,الجوف,Of Site,29.9448666666667,Room-Lobby,40.1964,82,AL-JOUF
85,,ارض نزال مساعد العوذة,AL-ODAY LAND HAI AL-SHAIB,AL-JOUF,الجوف,Of Site,29.994156,drive up - Island,40.221849,83,AL-JOUF
